throughput_tok_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_mean_ms,tpot_p50_ms,tpot_p90_ms,in_tok_per_req,total_tok_s,hit_rate,req_per_s,n,pd,clients,policy
860.8708333333333,0.14944162436552233,4.093401015228437,12.720229543147205,6.419822625148136,6.37,6.37,69886.96570752858,50111.76861111111,0.8072156387768291,0.7047222222222222,2537,3:15,48,kv
843.0411111111111,0.9388832487309173,10.685575279188015,24.230483350253802,6.452881424524803,6.37,6.77,69737.38891137192,48710.01,0.6112780801025626,0.6863888888888889,2471,3:15,48,rr
1672.3461111111112,0.5693823350259208,7.784382538071043,33.18578680203046,6.781613936723931,6.77,7.57,70047.12855426512,98843.27944444444,0.788079277911012,1.3872222222222221,4994,3:15,96,kv
1404.736388888889,8.447985837564147,39.755452385787066,54.14234228426409,7.15418186123586,7.17,7.97,70356.76249112005,83937.1275,0.6086277104959219,1.1730555555555555,4223,3:15,96,rr
2763.04,10.100539035533984,34.08481532994921,66.56649746192893,8.377872494566958,8.370000000000001,9.969999999999999,70026.98865008452,163864.01777777777,0.7810076102343321,2.3005555555555555,8282,3:15,192,kv
1473.8755555555556,60.367122131979386,101.06146192893362,116.06545553299503,9.886681455189798,9.969999999999999,10.77,68915.05235137533,87770.83555555556,0.595970928400627,1.2522222222222221,4508,3:15,192,rr
2595.0983333333334,56.44281030456614,112.72829243654837,155.6711423350254,14.107050404481033,13.969999999999999,15.57,68188.77809583074,154788.6627777778,0.772520880807572,2.2319444444444443,8035,3:15,384,kv
1370.2277777777779,140.2570885279165,220.3224937563449,255.69908827411126,15.104426229507348,15.170000000000002,15.969999999999999,66665.70491803279,82702.38777777778,0.5852182213675119,1.22,4392,3:15,384,rr
2485.9127777777776,78.67740218273593,139.64670050761418,202.8052791878172,16.763371574248758,16.77,18.37,67368.56188655195,149293.23722222223,0.7669076818490265,2.1791666666666667,7845,3:15,480,kv
1222.4,181.54587974619062,266.9425129949245,289.12892685279087,17.612346069603586,17.97,18.77,63683.81601362862,73910.4,0.5742011457544399,1.1413888888888888,4109,3:15,480,rr
2201.183611111111,137.77123507613896,290.13280421319774,346.00609137055864,24.48753961858843,24.77,26.37,64796.54472199839,136222.03694444444,0.7593451143900098,2.0683333333333334,7446,3:15,768,kv
1172.921111111111,285.5354220304582,454.5524820304561,489.91463213197915,24.858785264631745,25.57,26.37,62191.10841688039,75266.71666666666,0.5713376343922991,1.1913888888888888,4289,3:15,768,rr
2010.765,182.71137172589238,377.5516410659881,434.7256852791879,29.354422611421686,29.57,31.57,61949.557738858035,122864.02722222223,0.7469381459111455,1.9508333333333334,7023,3:15,960,kv
780.0294444444445,418.18494999999893,552.4146623857894,600.784671624368,29.3520289855091,31.17,31.57,52867.33913043478,51444.56277777778,0.5425839220300511,0.9583333333333334,3450,3:15,960,rr
1642.8516666666667,232.11327213197728,610.9781405076124,659.1512690355319,41.26428409733797,43.17,44.370000000000005,59514.63950198076,118489.92722222222,0.7489025742646637,1.9633333333333334,7068,3:15,1440,kv
322.9036111111111,724.6030241624312,897.7521928933966,918.7665497969533,38.055965647256585,44.370000000000005,44.370000000000005,24383.46376204441,16490.49472222222,0.40593835811667367,0.6630555555555555,2387,3:15,1440,rr
1346.381111111111,302.22025680203024,666.0468036548208,714.9705774111668,43.51154475381743,45.97,46.77,56053.741072833094,100327.94555555556,0.7424088903248871,1.7658333333333334,6357,3:15,1536,kv
302.67,776.2162446700488,941.1805009137095,986.6693062944155,39.70226215644739,46.77,47.17,21141.35137420719,14191.363333333333,0.3855770793824896,0.6569444444444444,2365,3:15,1536,rr
683.9719444444445,497.30069710659563,873.4115811167521,908.9441927411146,50.89035722463892,56.77,57.17,36754.97870391573,45269.80305555555,0.6862814978037634,1.2130555555555556,4367,3:15,1920,kv
246.10333333333332,935.9007015228416,1136.7178440609182,1157.058681218267,45.9403329119255,56.77,57.17,13162.801517067004,8922.583333333334,0.3328926435872851,0.6591666666666667,2373,3:15,1920,rr
566.7297222222222,0.12670050761425955,2.849137055837673,6.473447715736039,27.350788747931688,22.740000000000002,45.23,69110.99834528405,35371.79638888889,0.804390071697197,0.5036111111111111,1813,agg6,48,kv
715.8641666666666,0.8934010152283918,6.812588832487336,10.079245888324872,16.03056708160457,15.82,21.009999999999998,70174.775472568,42996.16638888889,0.4045258934299384,0.6025,2169,agg6,48,rr
890.1861111111111,0.13969543147186414,3.7068020304568563,15.44045563451777,39.77003370407834,34.85,76.37,68296.26154364677,57177.68833333333,0.7874793504394811,0.8241666666666667,2967,agg6,96,kv
1152.4019444444446,2.2091370558373455,11.414783248730714,22.462724873096448,25.7557912363939,24.47,34.85,69353.22578844543,70178.1263888889,0.3982734285476862,0.9952777777777778,3583,agg6,96,rr
1387.7041666666667,0.1624365482233543,5.8867005076142505,38.451979695431476,60.90975942090755,59.07,107.51,67273.11560570577,89160.43305555555,0.7697657502994126,1.3047222222222221,4697,agg6,192,kv
1438.0869444444445,4.425358020303747,34.43324588832485,46.27348045685279,51.54511722731997,50.419999999999995,67.72,67446.48807339449,93333.92694444445,0.39766360072605667,1.3625,4905,agg6,192,rr
1542.973888888889,0.22174030456881155,34.38512350253808,77.02046802030449,111.62377101681365,117.89,171.52,64213.17277822258,112934.99166666667,0.7571037311763572,1.7347222222222223,6245,agg6,384,kv
1313.2355555555555,14.428656954316466,82.86832385786784,101.0443939086295,106.2680604534002,105.78,131.73,63753.60345448003,99741.71555555555,0.3878923463599995,1.5438888888888889,5558,agg6,384,rr
1529.5308333333332,0.23065989847737,53.83422081218271,100.42152284263955,138.4192807177608,136.92000000000002,207.85,63058.32603406326,116716.07305555555,0.7579558862771147,1.8266666666666667,6576,agg6,480,kv
1230.1794444444445,24.041207360405224,105.42224203045683,119.60164654822324,133.27457696409462,142.11,178.44,62042.39175257732,98188.65055555555,0.38432142922439017,1.5627777777777778,5626,agg6,480,rr
1402.643611111111,0.37625979695530987,112.1978710659896,169.3238578680203,213.9341758841993,216.5,264.94,59564.021302744775,122565.79027777778,0.7353900771673701,2.0341666666666667,7323,agg6,768,kv
975.6336111111111,78.95411670050089,173.49522842639587,189.13786802030452,211.61586676347744,219.96,283.96999999999997,57571.92085677981,89076.66472222222,0.3692634742683498,1.5302777777777778,5509,agg6,768,rr
1337.316388888889,0.4158375634517597,158.44282360406115,210.708189035533,265.97581646068954,273.59,313.38,57734.0331317381,123316.4986111111,0.7313494693684403,2.1127777777777776,7606,agg6,960,kv
851.8025,117.81924934009794,218.49340101522844,230.17702340101482,261.8629770992368,277.04999999999995,335.86999999999995,54188.14820331409,81697.50916666667,0.3535658613848624,1.4919444444444445,5371,agg6,960,rr
1101.3144444444445,0.8033503553292576,270.70387035532997,322.5134999492386,393.9354987803311,410.26,448.32,52252.240852484276,114154.84333333334,0.7112241153894123,2.163611111111111,7789,agg6,1440,kv
544.1811111111111,238.69958131980093,342.71098172588876,357.62975395939065,378.0300435255711,420.64,482.91999999999996,44347.94689880305,57149.40777777778,0.325022676278226,1.2763888888888888,4595,agg6,1440,rr
1051.3941666666667,0.9843654822334429,293.06575406091395,349.37502538071055,419.22422084623196,441.4,467.34999999999997,51136.173374613005,111164.62083333333,0.7035949876302188,2.1533333333333333,7752,agg6,1536,kv
504.42527777777775,259.49143873095954,378.6997634010163,399.6561212182742,397.7123030707617,439.66999999999996,524.4399999999999,41860.87049399199,52760.74527777778,0.320902905336407,1.2483333333333333,4494,agg6,1536,rr
888.8108333333333,2.0281787309586434,388.56653477157386,439.49807106598985,517.3835345845927,555.5799999999999,595.37,46814.7021918887,99966.92638888888,0.6853614076828323,2.116388888888889,7619,agg6,1920,kv
371.03777777777776,369.0919436548179,459.55200695431506,482.10736852791894,483.98761660686773,541.74,595.37,29579.382880574063,32431.80222222222,0.2619537237232195,1.083888888888889,3902,agg6,1920,rr
864.9936111111111,0.13319796954328922,3.167512690355352,7.3141526395939085,6.464477085781744,6.37,6.77,69960.77399138268,50478.8425,0.8030798447728212,0.7091666666666666,2553,6:12,48,kv
847.3625,1.2438472588830791,8.550659898477136,15.231419898477156,6.533373493976183,6.37,6.77,69677.98232931727,49041.30027777778,0.40340772015830095,0.6916666666666667,2490,6:12,48,rr
1698.7386111111111,0.18192893401010224,4.099898477157353,16.632425126903552,6.9058311970024056,6.77,7.57,70100.23111812265,100442.70305555555,0.7803041583971863,1.408611111111111,5071,6:12,96,kv
1575.0522222222223,3.9537055837563457,25.208884111674877,37.890963908629715,7.214737963357303,7.17,7.97,70337.40434597358,93287.21222222222,0.4090772030681434,1.3038888888888889,4694,6:12,96,rr
3309.356111111111,0.7574864974617412,11.547332994923835,32.860671065989855,8.083900796081803,7.57,9.969999999999999,70230.18901816697,194452.52055555556,0.7588648545841509,2.7216666666666667,9798,6:12,192,kv
1952.9252777777779,26.860867766501542,90.565484416245,113.06164883248721,10.21486387172158,9.969999999999999,11.57,69450.33706363788,117452.69416666667,0.40110911928641224,1.6630555555555555,5987,6:12,192,rr
4926.383333333333,13.027034720825213,32.310331015228144,72.84629441624365,13.247546903368965,12.77,15.969999999999999,69645.94822137045,292622.1877777778,0.7532179160276816,4.130833333333333,14871,6:12,384,kv
1885.3325,108.28587609136991,162.24811527919155,237.7836969543132,16.960073775987297,16.77,18.37,67419.91146881288,113577.6525,0.3901090891966934,1.6566666666666667,5964,6:12,384,rr
4719.884722222222,25.24419598985287,50.8930730456849,99.56555893401008,17.044005947032563,16.37,19.97,69123.48302330406,282385.0758333333,0.7467272244654497,4.016944444444444,14461,6:12,480,kv
1838.6722222222222,120.45369456852586,199.1624015228423,226.44626319796907,20.212029228960457,20.37,21.57,66132.67394590963,111196.39666666667,0.3835555897692569,1.6536111111111111,5953,6:12,480,rr
4382.193333333334,57.12950609136669,119.00208162436473,166.56073670050742,27.347749396902103,27.17,30.37,67510.16886618419,268684.50444444444,0.7414098419982283,3.915,14094,6:12,768,kv
1684.2658333333334,212.0887522842637,311.8275429949267,339.6372606598943,29.570556909155336,29.97,31.57,62332.94813783502,101174.57694444444,0.36952282049080215,1.596111111111111,5746,6:12,768,rr
4125.340833333334,78.59122350253438,169.8902385279187,213.52562578680204,33.89356005789058,33.97,37.17,66237.97163531114,258405.55416666667,0.7380872130693354,3.838888888888889,13820,6:12,960,kv
1613.506388888889,280.6365702538051,377.85327832487064,403.2992973096443,35.574366078925756,36.77,37.97,61955.44987405542,104098.14638888888,0.37435784338482353,1.6541666666666666,5955,6:12,960,rr
3467.008888888889,126.25585614213196,282.37644670050753,326.11154416243664,49.73665897377023,49.97,53.57,62889.854296484344,230551.79111111112,0.7265449657929179,3.6108333333333333,12999,6:12,1440,kv
963.1686111111111,452.5166659898475,581.8997520812184,594.9433459390884,49.53186836518086,53.17,53.97,49681.71889596603,65963.4175,0.3342590097931435,1.3083333333333333,4710,6:12,1440,rr
3300.929166666667,149.213103401014,304.38700593908624,353.81765527918793,52.82913816364523,53.17,56.77,61789.68145385287,219581.97805555555,0.7208463308400458,3.500277777777778,12601,6:12,1536,kv
849.3397222222222,474.3899528426409,616.0451051776652,660.2401275634534,52.05064085447118,56.77,57.17,45915.357365376054,58167.010833333334,0.31606913261741687,1.2483333333333333,4494,6:12,1536,rr
2973.2675,171.26336223349608,403.07608954314645,442.9714477157363,64.86508878578766,66.77000000000001,69.57000000000001,59607.4765637498,209976.7875,0.7114158497549532,3.472777777777778,12502,6:12,1920,kv
609.2269444444445,605.6081318274115,738.2516803553285,769.8131359898439,61.46466833541937,69.57000000000001,69.97,33363.92891113892,37633.920277777775,0.26500817586825465,1.1097222222222223,3995,6:12,1920,rr
865.8858333333334,0.13319796954328922,2.921767664974624,4.990050761421315,6.595303564434203,6.37,6.77,69960.07207207207,50479.23694444444,0.8007738948037059,0.7091666666666666,2553,9:9,48,kv
847.3625,1.8387817258883388,7.589035532994785,10.824771573604266,6.670080321285277,6.77,6.77,69677.98232931727,49041.30027777778,0.2920763410715549,0.6916666666666667,2490,9:9,48,rr
1698.8772222222221,0.16243654822346798,3.5151269035532096,10.741922233502542,7.198391167192312,7.17,7.97,70103.94952681389,100467.55277777778,0.7820105510487086,1.4088888888888889,5072,9:9,96,kv
1624.0852777777777,3.1568980710659957,15.662285989847817,30.719310406091722,7.507015663643708,7.17,8.77,70156.91343775763,96180.01416666666,0.30168191933561145,1.3477777777777777,4852,9:9,96,rr
3349.4883333333332,0.25664974619292025,5.37989847715744,19.189006091370544,8.740792627656585,7.97,10.77,70127.29257729882,196764.45722222223,0.7601122681518596,2.7580555555555555,9929,9:9,192,kv
2478.6030555555553,12.69693649746364,51.97191436548235,72.64064015228436,10.71744136460496,10.370000000000001,12.77,69517.14285714286,147383.2252777778,0.3044383746782004,2.0844444444444443,7504,9:9,192,rr
5996.5275,1.8325440101516506,11.637173096446759,45.45854294416245,13.520662362239523,11.969999999999999,18.37,70026.69041522876,355468.6163888889,0.7373699231761658,4.990555555555556,17966,9:9,384,kv
2450.7180555555556,63.28561431472008,128.29169340101566,144.9869154314722,19.848220502901334,19.57,22.37,67788.07375886524,148477.52694444446,0.2959308335879835,2.154166666666667,7755,9:9,384,rr
6633.620833333333,4.0905982741110165,18.46748928934005,60.455021319796884,17.264957022903225,15.969999999999999,22.77,69660.10632483728,396091.66527777776,0.7342129309621268,5.590833333333333,20127,9:9,480,kv
2386.6358333333333,80.0584771573604,148.5588848730962,237.22945370558227,24.31860713356052,24.37,26.77,67076.54881541265,145520.53805555555,0.28981643807687346,2.133888888888889,7682,9:9,480,rr
6376.080555555555,20.163459949237676,57.73080532994891,105.45791969543143,31.538686967587438,31.17,37.17,68273.52119847253,393752.4538888889,0.7323744454810991,5.6738888888888885,20426,9:9,768,kv
